"stock_id", "Title", "barcode", "category", "price"
"prince-charlie-3butt","Prince Charlie and 3 button vest (Special Order)","*PRINCE-CHARLIE-3BUTT*","","0",
"kilt-util-black-heav","Heavy Duty Utility Kilt","*KILT-UTIL-BLACK-HEAV*","","0",
"vest-high-black-silv","Highland Dance Vest Black with Silver","*VEST-HIGH-BLACK-SILV*","","0",
"U-glen7","Pipers Glen size 7","*U-GLEN7*","","0",
"U-glen7","Pipers Glen size 7","*U-GLEN7*","","0",
"U-glen7","Pipers Glen size 7","*U-GLEN7*","","0",
"U-glen7","Pipers Glen size 7","*U-GLEN7*","","0",
"U-glen7","Pipers Glen size 7","*U-GLEN7*","","0",
"U-glen7","Pipers Glen size 7","*U-GLEN7*","","0",
"U-glend7","Drummers Glen size 7","*U-GLEND7*","","0",
"U-glend7","Drummers Glen size 7","*U-GLEND7*","","0",
"U-glend7","Drummers Glen size 7","*U-GLEND7*","","0",
"U-glend7","Drummers Glen size 7","*U-GLEND7*","","0",
"U-glend7","Drummers Glen size 7","*U-GLEND7*","","0",
"U-glend7","Drummers Glen size 7","*U-GLEND7*","","0",
"U-glen75","Pipers Glen size 7.5","*U-GLEN75*","","0",
"U-glen75","Pipers Glen size 7.5","*U-GLEN75*","","0",
"U-glen75","Pipers Glen size 7.5","*U-GLEN75*","","0",
"U-glen75","Pipers Glen size 7.5","*U-GLEN75*","","0",
"U-glen75","Pipers Glen size 7.5","*U-GLEN75*","","0",
"U-glen75","Pipers Glen size 7.5","*U-GLEN75*","","0",
"U-glend75","Drummers Glen size 7.5","*U-GLEND75*","","0",
"U-glend75","Drummers Glen size 7.5","*U-GLEND75*","","0",
"U-glend75","Drummers Glen size 7.5","*U-GLEND75*","","0",
"U-glend75","Drummers Glen size 7.5","*U-GLEND75*","","0",
"U-glend75","Drummers Glen size 7.5","*U-GLEND75*","","0",
"U-glend75","Drummers Glen size 7.5","*U-GLEND75*","","0",
"Shipping","Shipping From Supplier","*SHIPPING*","","0",
"U-glen61","Pipers Glen size 61 (7 5/8)","*U-GLEN61*","","0",
"U-glen61","Pipers Glen size 61 (7 5/8)","*U-GLEN61*","","0",
"U-glen61","Pipers Glen size 61 (7 5/8)","*U-GLEN61*","","0",
"U-glen61","Pipers Glen size 61 (7 5/8)","*U-GLEN61*","","0",
"U-glen61","Pipers Glen size 61 (7 5/8)","*U-GLEN61*","","0",
"U-glen61","Pipers Glen size 61 (7 5/8)","*U-GLEN61*","","0",
"U-glend61","Drummers Glen size 61 (7 5/8)","*U-GLEND61*","","0",
"U-glend61","Drummers Glen size 61 (7 5/8)","*U-GLEND61*","","0",
"U-glend61","Drummers Glen size 61 (7 5/8)","*U-GLEND61*","","0",
"U-glend61","Drummers Glen size 61 (7 5/8)","*U-GLEND61*","","0",
"U-glend61","Drummers Glen size 61 (7 5/8)","*U-GLEND61*","","0",
"U-glend61","Drummers Glen size 61 (7 5/8)","*U-GLEND61*","","0",
"scarf-wool-rs","Wool Scarf Royal Stewart","*SCARF-WOOL-RS*","","0",
"hat-wool-tammy-mc","MacKenzie Tartan Tammy Hat","*HAT-WOOL-TAMMY-MC*","","0",
