"stock_id", "Title", "barcode", "category", "price"
"KEY-Cross-Highland","Keychain ? Cross-Highland","*KEY-CROSS-HIGHLAND*","","0",
"KEY-Cross-Highland","Keychain ? Cross-Highland","*KEY-CROSS-HIGHLAND*","","0",
"KEY-Cross-Highland","Keychain ? Cross-Highland","*KEY-CROSS-HIGHLAND*","","0",
"KEY-Cross-Trinity","Keychain ? Cross-Trinity","*KEY-CROSS-TRINITY*","","0",
"KEY-Cross-Trinity","Keychain ? Cross-Trinity","*KEY-CROSS-TRINITY*","","0",
"KEY-Cross-Trinity","Keychain ? Cross-Trinity","*KEY-CROSS-TRINITY*","","0",
"PEN-Cross-Protection","Pendant with chain ? Protection Cross","*PEN-CROSS-PROTECTION*","","0",
"PEN-Cross-Protection","Pendant with chain ? Protection Cross","*PEN-CROSS-PROTECTION*","","0",
"PEN-Cross-Protection","Pendant with chain ? Protection Cross","*PEN-CROSS-PROTECTION*","","0",
"PEN-Cross-High","Pendant with chain ? High Cross","*PEN-CROSS-HIGH*","","0",
"PEN-Cross-High","Pendant with chain ? High Cross","*PEN-CROSS-HIGH*","","0",
"PEN-Cross-High","Pendant with chain ? High Cross","*PEN-CROSS-HIGH*","","0",
"PEN-Knot-Protection","Pendant with chain ? Protection Knot","*PEN-KNOT-PROTECTION*","","0",
"PEN-Knot-Protection","Pendant with chain ? Protection Knot","*PEN-KNOT-PROTECTION*","","0",
"PEN-Knot-Protection","Pendant with chain ? Protection Knot","*PEN-KNOT-PROTECTION*","","0",
"PEN-Knot-Rosemarkie","Pendant with chain ? Rosemarkie Knot","*PEN-KNOT-ROSEMARKIE*","","0",
"PEN-Knot-Rosemarkie","Pendant with chain ? Rosemarkie Knot","*PEN-KNOT-ROSEMARKIE*","","0",
"PEN-Knot-Rosemarkie","Pendant with chain ? Rosemarkie Knot","*PEN-KNOT-ROSEMARKIE*","","0",
"PEN-Knot-Shandwick","Pendant with chain ? Shandwick Knot","*PEN-KNOT-SHANDWICK*","","0",
"PEN-Knot-Shandwick","Pendant with chain ? Shandwick Knot","*PEN-KNOT-SHANDWICK*","","0",
"PEN-Knot-Shandwick","Pendant with chain ? Shandwick Knot","*PEN-KNOT-SHANDWICK*","","0",
"PEN-Knot-Magic","Pendant with chain ? Magic Knot","*PEN-KNOT-MAGIC*","","0",
"PEN-Knot-Magic","Pendant with chain ? Magic Knot","*PEN-KNOT-MAGIC*","","0",
"PEN-Knot-Magic","Pendant with chain ? Magic Knot","*PEN-KNOT-MAGIC*","","0",
"PEN-Cross-Highland","Pendant ? Cross-Highland","*PEN-CROSS-HIGHLAND*","","0",
"PEN-Cross-Highland","Pendant ? Cross-Highland","*PEN-CROSS-HIGHLAND*","","0",
"PEN-Cross-Highland","Pendant ? Cross-Highland","*PEN-CROSS-HIGHLAND*","","0",
"PEN-AberlemnoMandala","Pendant ? Aberlemno Mandala","*PEN-ABERLEMNOMANDALA*","","0",
"PEN-AberlemnoMandala","Pendant ? Aberlemno Mandala","*PEN-ABERLEMNOMANDALA*","","0",
"PEN-AberlemnoMandala","Pendant ? Aberlemno Mandala","*PEN-ABERLEMNOMANDALA*","","0",
"PEN-Brighid-Goddess","Pendant ? Brighid-Goddess","*PEN-BRIGHID-GODDESS*","","0",
"PEN-Brighid-Goddess","Pendant ? Brighid-Goddess","*PEN-BRIGHID-GODDESS*","","0",
"PEN-Brighid-Goddess","Pendant ? Brighid-Goddess","*PEN-BRIGHID-GODDESS*","","0",
"Earings-4Seasons","Earings ? Cross of 4 Seasons","*EARINGS-4SEASONS*","","0",
"Earings-4Seasons","Earings ? Cross of 4 Seasons","*EARINGS-4SEASONS*","","0",
"Earings-4Seasons","Earings ? Cross of 4 Seasons","*EARINGS-4SEASONS*","","0",
"KEY-Knot-Shandwick","Keychain with chain ? Shandwick Knot","*KEY-KNOT-SHANDWICK*","","0",
"KEY-Knot-Shandwick","Keychain with chain ? Shandwick Knot","*KEY-KNOT-SHANDWICK*","","0",
"KEY-Knot-Shandwick","Keychain with chain ? Shandwick Knot","*KEY-KNOT-SHANDWICK*","","0",
"brooch-Cross-Trinity","brooch ? Cross-Trinity","*BROOCH-CROSS-TRINITY*","","0",
"brooch-Cross-Trinity","brooch ? Cross-Trinity","*BROOCH-CROSS-TRINITY*","","0",
"brooch-Cross-Trinity","brooch ? Cross-Trinity","*BROOCH-CROSS-TRINITY*","","0",
