"stock_id", "Title", "barcode", "category", "price"
"brooch-d-ths-stn-blu","Round Dance Brooch with Blue Stone","*BROOCH-D-THS-STN-BLU*","","0",
"brooch-d-ths-stn-blu","Round Dance Brooch with Blue Stone","*BROOCH-D-THS-STN-BLU*","","0",
"brooch-d-ths-stn-blu","Round Dance Brooch with Blue Stone","*BROOCH-D-THS-STN-BLU*","","0",
"prince-charlie-3butt","Prince Charlie and 3 button vest (Special Order)","*PRINCE-CHARLIE-3BUTT*","","0",
"prince-charlie-3butt","Prince Charlie and 3 button vest (Special Order)","*PRINCE-CHARLIE-3BUTT*","","0",
"Argyle-Jacket-5butt","Argyle Jacket and 5 button vest (Special Order)","*ARGYLE-JACKET-5BUTT*","","0",
"Argyle-Jacket-5butt","Argyle Jacket and 5 button vest (Special Order)","*ARGYLE-JACKET-5BUTT*","","0",
"Shipping","Shipping From Supplier","*SHIPPING*","","0",
"U-KB-30","Kilt Belt 30&quot;","*U-KB-30*","","0",
