"stock_id", "Title", "barcode", "category", "price"
"Brooch-Piper-Comical","Brooch ? Piper - Comical","*BROOCH-PIPER-COMICAL*","","0",
"Brooch-Piper-Comical","Brooch ? Piper - Comical","*BROOCH-PIPER-COMICAL*","","0",
"Brooch-Piper-1","Brooch ? Piper","*BROOCH-PIPER-1*","","0",
"Brooch-Piper-1","Brooch ? Piper","*BROOCH-PIPER-1*","","0",
"Bus-Card-hold-dancer","Business Card Holder ? dancer","*BUS-CARD-HOLD-DANCER*","","0",
"Bus-Card-hold-piper","Business Card Holder ? Piper","*BUS-CARD-HOLD-PIPER*","","0",
"Kiltpin-stonearrow","Kiltpin ? Stone and Arrow","*KILTPIN-STONEARROW*","","0",
"Kiltpin-stonearrow","Kiltpin ? Stone and Arrow","*KILTPIN-STONEARROW*","","0",
"Barrette-round","Barrette ? Rounded Knot","*BARRETTE-ROUND*","","0",
"Barrette-round","Barrette ? Rounded Knot","*BARRETTE-ROUND*","","0",
"Barrette-round","Barrette ? Rounded Knot","*BARRETTE-ROUND*","","0",
"Barrette-Rectangular","Barrette ? Rectangular Knot","*BARRETTE-RECTANGULAR*","","0",
"Barrette-Rectangular","Barrette ? Rectangular Knot","*BARRETTE-RECTANGULAR*","","0",
"Barrette-Rectangular","Barrette ? Rectangular Knot","*BARRETTE-RECTANGULAR*","","0",
"Brooch-Piper-Female","Brooch ? Piper - Female","*BROOCH-PIPER-FEMALE*","","0",
"Brooch-Piper-Female","Brooch ? Piper - Female","*BROOCH-PIPER-FEMALE*","","0",
"Brooch-Dancer-Pair","Brooch ? Dancer-Pair","*BROOCH-DANCER-PAIR*","","0",
"Brooch-Dancer-Pair","Brooch ? Dancer-Pair","*BROOCH-DANCER-PAIR*","","0",
"Brooch-Dancer-Irish","Brooch ? Dancer-Irish","*BROOCH-DANCER-IRISH*","","0",
"Brooch-Drummer","Brooch ? Drummer","*BROOCH-DRUMMER*","","0",
"Brooch-TrebleClef","Brooch ? Treble Clef","*BROOCH-TREBLECLEF*","","0",
"Brooch-TrebleClef","Brooch ? Treble Clef","*BROOCH-TREBLECLEF*","","0",
"Ornament-drummer","Ornament - Drummer Boy","*ORNAMENT-DRUMMER*","","0",
"Ornament-drummer","Ornament - Drummer Boy","*ORNAMENT-DRUMMER*","","0",
"Ornament-drummer","Ornament - Drummer Boy","*ORNAMENT-DRUMMER*","","0",
"Ornament-Angel-Lyre","Ornament - Angel-Lyre","*ORNAMENT-ANGEL-LYRE*","","0",
"Ornament-Angel-Lyre","Ornament - Angel-Lyre","*ORNAMENT-ANGEL-LYRE*","","0",
"Ornament-Angel-Horn","Ornament - Angel-Horn","*ORNAMENT-ANGEL-HORN*","","0",
"Ornament-Angel-Horn","Ornament - Angel-Horn","*ORNAMENT-ANGEL-HORN*","","0",
"Ornament-TinSoldier","Ornament ? TinSoldier","*ORNAMENT-TINSOLDIER*","","0",
"Ornament-TinSoldier","Ornament ? TinSoldier","*ORNAMENT-TINSOLDIER*","","0",
"Ornament-TinSoldier","Ornament ? TinSoldier","*ORNAMENT-TINSOLDIER*","","0",
"Ornament-SaintNick","Ornament ? SaintNick","*ORNAMENT-SAINTNICK*","","0",
"Ornament-SaintNick","Ornament ? SaintNick","*ORNAMENT-SAINTNICK*","","0",
