"stock_id", "Title", "barcode", "category", "price"
"HD-Jig-G-7","Highland Dance Jig Shoe Size 7  Green","*HD-JIG-G-7*","","0",
"HD-Jig-R-7","Highland Dance Jig Shoe Size 7 Red","*HD-JIG-R-7*","","0",
"HD-Jig-R-5","Highland Dance Jig Shoe Size 5 Red","*HD-JIG-R-5*","","0",
"HD-Shoes-2","Highland Dance Ghillie Solid Sole Size 2 (20.5cm)","*HD-SHOES-2*","","0",
"HD-Shoes-2","Highland Dance Ghillie Solid Sole Size 2 (20.5cm)","*HD-SHOES-2*","","0",
"HD-Shoes-2.5","Highland Dance Ghillie Solid Sole Size 2.5 (21cm)","*HD-SHOES-2.5*","","0",
"HD-Shoes-4.5","Highland Dance Ghillie Solid Sole Size 4.5 (22.5cm)","*HD-SHOES-4.5*","","0",
"HD-Shoes-5.5","Highland Dance Ghillie Solid Sole Size 5.5-6 (23.5cm)","*HD-SHOES-5.5*","","0",
"Shipping","Shipping From Supplier","*SHIPPING*","","0",
"HD-Shoes-C13","Highland Dance Ghillie Solid Sole Size C13","*HD-SHOES-C13*","","0",
"HD-Shoes-C13","Highland Dance Ghillie Solid Sole Size C13","*HD-SHOES-C13*","","0",
"HD-Shoes-C12.5","Highland Dance Ghillie Solid Sole Size C12.5","*HD-SHOES-C12.5*","","0",
