"stock_id", "Title", "barcode", "category", "price"
"BP-M-BrushD","Drone Brush","*BP-M-BRUSHD*","Bagpipe Maintenance","0","0",
"BP-M-BrushD","Drone Brush","*BP-M-BRUSHD*","Bagpipe Maintenance","0","0",
"BP-M-Reamer","Lil Mac Reamer","*BP-M-REAMER*","Bagpipe Maintenance","0","0",
"BP-M-LilMac","Lil Mac valve","*BP-M-LILMAC*","Bagpipe Maintenance","0","0",
"BP-M-LilMac","Lil Mac valve","*BP-M-LILMAC*","Bagpipe Maintenance","0","0",
"BP-M-MPProt","Mouthpiece Protectors","*BP-M-MPPROT*","Bagpipe Maintenance","0","0",
"BP-M-MPProt","Mouthpiece Protectors","*BP-M-MPPROT*","Bagpipe Maintenance","0","0",
"BP-M-MPProt","Mouthpiece Protectors","*BP-M-MPPROT*","Bagpipe Maintenance","0","0",
"BP-M-MPProt","Mouthpiece Protectors","*BP-M-MPPROT*","Bagpipe Maintenance","0","0",
"BP-M-MPProt","Mouthpiece Protectors","*BP-M-MPPROT*","Bagpipe Maintenance","0","0",
"BP-M-MPProt","Mouthpiece Protectors","*BP-M-MPPROT*","Bagpipe Maintenance","0","0",
"BP-M-MPProt","Mouthpiece Protectors","*BP-M-MPPROT*","Bagpipe Maintenance","0","0",
"BP-M-MPProt","Mouthpiece Protectors","*BP-M-MPPROT*","Bagpipe Maintenance","0","0",
"BP-M-MPProt","Mouthpiece Protectors","*BP-M-MPPROT*","Bagpipe Maintenance","0","0",
"pp-recharge","Piper&#039;s Pal Recharge kit","*PP-RECHARGE*","Bagpipe Maintenance","0","0",
"BP-M-Mandril","Reed Mandrel","*BP-M-MANDRIL*","Bagpipe Maintenance","0","0",
"teflon-tape","Teflon Tape","*TEFLON-TAPE*","Bagpipe Maintenance","0","0",
"teflon-tape","Teflon Tape","*TEFLON-TAPE*","Bagpipe Maintenance","0","0",
"BP-M-HempB","Waxed Hemp Black","*BP-M-HEMPB*","Bagpipe Maintenance","0","0",
"BP-M-HempB","Waxed Hemp Black","*BP-M-HEMPB*","Bagpipe Maintenance","0","0",
"BP-M-HempB","Waxed Hemp Black","*BP-M-HEMPB*","Bagpipe Maintenance","0","0",
"BP-M-HempB","Waxed Hemp Black","*BP-M-HEMPB*","Bagpipe Maintenance","0","0",
"BP-M-HempB","Waxed Hemp Black","*BP-M-HEMPB*","Bagpipe Maintenance","0","0",
"BP-M-HempB","Waxed Hemp Black","*BP-M-HEMPB*","Bagpipe Maintenance","0","0",
