"stock_id", "Title", "barcode", "category", "price"
"PWEB","Penny Whistle","*PWEB*","","0",
"PWEB","Penny Whistle","*PWEB*","","0",
"PWEB","Penny Whistle","*PWEB*","","0",
"08AWAL-1504","Irish Tin Whistle twin pack","*08AWAL-1504*","","0",
"08AWAL-1504","Irish Tin Whistle twin pack","*08AWAL-1504*","","0",
"08AWAL-1504","Irish Tin Whistle twin pack","*08AWAL-1504*","","0",
"08AWAL-1504","Irish Tin Whistle twin pack","*08AWAL-1504*","","0",
"08AWAL-1504","Irish Tin Whistle twin pack","*08AWAL-1504*","","0",
"08AWAL-1504","Irish Tin Whistle twin pack","*08AWAL-1504*","","0",
"08AWAL-1501","Irish Tin Whistle D","*08AWAL-1501*","","0",
"08AWAL-1501","Irish Tin Whistle D","*08AWAL-1501*","","0",
"08AWAL-1501","Irish Tin Whistle D","*08AWAL-1501*","","0",
"10AWAL-2508","8&quot; Bodhran Carew Cross","*10AWAL-2508*","","0",
"10AWAL-2508","8&quot; Bodhran Carew Cross","*10AWAL-2508*","","0",
"10AWAL-2508","8&quot; Bodhran Carew Cross","*10AWAL-2508*","","0",
"10AWAL-2508","8&quot; Bodhran Carew Cross","*10AWAL-2508*","","0",
"10AWAL-1953","8&quot; Bodhran Celtic Cross","*10AWAL-1953*","","0",
"10AWAL-1953","8&quot; Bodhran Celtic Cross","*10AWAL-1953*","","0",
"10AWAL-1953","8&quot; Bodhran Celtic Cross","*10AWAL-1953*","","0",
"10AWAL-1953","8&quot; Bodhran Celtic Cross","*10AWAL-1953*","","0",
"KS-0214-00","Batter, Crimped, FALAMS? II, SMOOTH WHITE?, 14&quot; Diameter","*KS-0214-00*","","0",
"KS-0524-00","Batter, Crimped, CYBERMAX? With DURALOCK?, White, 14&quot; Diameter","*KS-0524-00*","","0",
"KS-0524-00","Batter, Crimped, CYBERMAX? With DURALOCK?, White, 14&quot; Diameter","*KS-0524-00*","","0",
"Shipping","Shipping From Supplier","*SHIPPING*","","0",
