"stock_id", "Title", "barcode", "category", "price"
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sp-hd-chb-t-msi-001","Semi-Dress Black leather sporran with thistle cantle","*SP-HD-CHB-T-MSI-001*","","0",
"sash-officer-red","Officer Sash Red (wool)","*SASH-OFFICER-RED*","","0",
"sash-officer-red","Officer Sash Red (wool)","*SASH-OFFICER-RED*","","0",
"sash-officer-red","Officer Sash Red (wool)","*SASH-OFFICER-RED*","","0",
"Purse-Kilt-RS","Tartan Purse Royal Stewart","*PURSE-KILT-RS*","","0",
"Purse-Kilt-RS","Tartan Purse Royal Stewart","*PURSE-KILT-RS*","","0",
"Purse-Kilt-RS","Tartan Purse Royal Stewart","*PURSE-KILT-RS*","","0",
"Shipping","Shipping From Supplier","*SHIPPING*","","0",
"HD-HighlandVest","Highland Dance Vest","*HD-HIGHLANDVEST*","","0",
"HD-HighlandVest","Highland Dance Vest","*HD-HIGHLANDVEST*","","0",
"HD-Shoes-1","Highland Dance Ghillie Solid Sole Size 1 (19.5cm)","*HD-SHOES-1*","","0",
"Purse-tartan-RS","Tartan Purse Royal Stewart","*PURSE-TARTAN-RS*","","0",
"Purse-tartan-RS","Tartan Purse Royal Stewart","*PURSE-TARTAN-RS*","","0",
"Purse-tartan-RS","Tartan Purse Royal Stewart","*PURSE-TARTAN-RS*","","0",
"kilt-5yd-10oz-70wool","5 Yard Kilt 10oz 70% wool","*KILT-5YD-10OZ-70WOOL*","","0",
"blanket-tartan-BW","Black Watch Tartan Blanket","*BLANKET-TARTAN-BW*","","0",
"blanket-tartan-BW","Black Watch Tartan Blanket","*BLANKET-TARTAN-BW*","","0",
"blanket-tartan-RS","Royal Stewart Tartan Blanket","*BLANKET-TARTAN-RS*","","0",
"blanket-tartan-RS","Royal Stewart Tartan Blanket","*BLANKET-TARTAN-RS*","","0",
"blanket-tartan-McKen","McKenzie Tartan Blanket","*BLANKET-TARTAN-MCKEN*","","0",
"blanket-tartan-McKen","McKenzie Tartan Blanket","*BLANKET-TARTAN-MCKEN*","","0",
