"stock_id", "Title", "barcode", "category", "price"
"U-g-laces","Ghillie Laces with Tassels","*U-G-LACES*","","0",
"U-g-laces","Ghillie Laces with Tassels","*U-G-LACES*","","0",
"U-g-laces","Ghillie Laces with Tassels","*U-G-LACES*","","0",
"U-g-laces","Ghillie Laces with Tassels","*U-G-LACES*","","0",
"U-g-laces","Ghillie Laces with Tassels","*U-G-LACES*","","0",
"HD-Laces-Ghillie","Laces for Ghillie Dance Shoes","*HD-LACES-GHILLIE*","","0",
"HD-Laces-Ghillie","Laces for Ghillie Dance Shoes","*HD-LACES-GHILLIE*","","0",
"HD-Laces-Ghillie","Laces for Ghillie Dance Shoes","*HD-LACES-GHILLIE*","","0",
"HD-Laces-Ghillie","Laces for Ghillie Dance Shoes","*HD-LACES-GHILLIE*","","0",
"HD-Laces-Ghillie","Laces for Ghillie Dance Shoes","*HD-LACES-GHILLIE*","","0",
"HD-Split Sole-4","Highland Dance Split Sole Shoe Size 4 ","*HD-SPLIT SOLE-4*","","0",
"HD-Split Sole-5","Highland Dance Split Sole Shoe Size 5 ","*HD-SPLIT SOLE-5*","","0",
"HD-Split Sole-7","Highland Dance Split Sole Shoe Size 7 ","*HD-SPLIT SOLE-7*","","0",
"HD-Split Sole-7.5","Highland Dance Split Sole Shoe Size 7.5 ","*HD-SPLIT SOLE-7.5*","","0",
"Ghille-Boots-9","Ghillie Boots Size 9","*GHILLE-BOOTS-9*","","0",
"Ghille-Boots-10","Ghillie Boots Size 10","*GHILLE-BOOTS-10*","","0",
"Ghille-Boots-11","Ghillie Boots Size 11","*GHILLE-BOOTS-11*","","0",
"HD-Shoes-8","Highland Dance Ghillie Solid Sole Size 8 (25.5cm)","*HD-SHOES-8*","","0",
"HD-Shoes-8","Highland Dance Ghillie Solid Sole Size 8 (25.5cm)","*HD-SHOES-8*","","0",
"Ghille-Boots-8","Ghillie Boots Size 8","*GHILLE-BOOTS-8*","","0",
"Ghille-Boots-11.5","Ghillie Boots Size 11.5","*GHILLE-BOOTS-11.5*","","0",
