"stock_id","SKU","Image_URL","category","Title","description","long_description","price","instock","managestock","virtual","downloadable","tax_status","tax_class","allow_backorders","shipping_weight","shipping_length","shipping_width","shipping_height","shipping_class","cross_sell_SKUs","upsell_SKUs","tags",
"hd-hat-hornpipe","hd-hat-hornpipe",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/hd-hat-hornpipe.jpg","Highland Dance","Hornpipe Hat","Hornpipe Hat","Hornpipe Hat, Round.  Sizes are available between 51 and 59cm.","57.14","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"hd-hat-hornpipe-r","hd-hat-hornpipe-r",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/hd-hat-hornpipe-r.jpg","Highland Dance","Hornpipe Hat, Round","Hornpipe Hat, Round","Hornpipe Hat.

Available in sizes 51-59cm (circumference of head)","57.14","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"hd-braid-silver","hd-braid-silver",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/hd-braid-silver.jpg","Buttons-Braid","Silver Braid for Highland Dance costumes","Silver Braid for Highland Dance costumes","Silver Braid for Highland Dance costumes or Dublets.  Measured in Meters","5.71","94","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"hd-braid-gold","hd-braid-gold",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/hd-braid-gold.jpg","Buttons-Braid","Gold Braid for Highland Dance costumes","Gold Braid for Highland Dance costumes","Gold Braid for Highland Dance costumes or Dublets","5.71","48","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"midi-korg","midi-korg",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/midi-korg.jpg","Music Accessories","Korg Microkey","Korg Microkey","37 Velocity sensitive USB Midi keyboard.
Pitch bend and modulation joystick,","120","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"wi-dig-audiolink","wi-dig-audiolink",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/wi-dig-audiolink.jpg","Music Accessories","Wi Digital AudioLink","Wi Digital AudioLink","2.4Ghz audio transmission system.","250","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"d-hc-tenor-case-w","d-hc-tenor-case-w",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/d-hc-tenor-case-w.jpg","Drum Cases Carriers","Hardcase Premier Pro Tenor Drum Case with Wheels","Hardcase Premier Pro Tenor Drum Case with Wheels","HNLMT16-H12-BK Molded Premier Pro Tenor Drum Case by Hardcase

16x12 tenor drum case with Wheels","225","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"d-hts-case-w","d-hts-case-w",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/d-hts-case-w.jpg","Drum Cases Carriers","Hardcase Snare Drum Case with Wheels","Hardcase Snare Drum Case with Wheels","HNLMS14HT-DX-BK Molded Snare Drum Case by Hardcase

This deluxe version features heavy duty wheels, foam padding interior, and extendable handle for easy transportation. Easily stackable and made from high impact material.","297.27","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"RB-2B","RB-2B",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/RB-2B.jpg","Drum Sticks and Mallets","RB 2B drum sticks with wood Tip","RB 2B drum sticks with wood Tip","RB&#039;s 2B wood-tip drum sticks made from quality maple. Paired with colour packaged sleeve.","4.76","20","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"ma-lamp-51820","ma-lamp-51820",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/ma-lamp-51820.jpg","Stands","Mighty Bright Duet-2","Mighty Bright Duet-2","Duet 2 dual head LED lamp.  Each head has 2 LED lights.  Powered by 3 AAA batteries, or optional (not included) AC adapter.","47.62","3","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
