"stock_id", "Title", "barcode", "category", "price"
"badge-belt-stag","Stag Cap Badge w/ Belt","*BADGE-BELT-STAG*","","0","0",
"badge-belt-stag","Stag Cap Badge w/ Belt","*BADGE-BELT-STAG*","","0","0",
"badge-belt-stag","Stag Cap Badge w/ Belt","*BADGE-BELT-STAG*","","0","0",
"badge-belt-stag","Stag Cap Badge w/ Belt","*BADGE-BELT-STAG*","","0","0",
"badge-belt-stag","Stag Cap Badge w/ Belt","*BADGE-BELT-STAG*","","0","0",
"badge-belt-stag","Stag Cap Badge w/ Belt","*BADGE-BELT-STAG*","","0","0",
"badge-belt-stag","Stag Cap Badge w/ Belt","*BADGE-BELT-STAG*","","0","0",
"badge-belt-stag","Stag Cap Badge w/ Belt","*BADGE-BELT-STAG*","","0","0",
"badge-belt-stag","Stag Cap Badge w/ Belt","*BADGE-BELT-STAG*","","0","0",
"badge-belt-stag","Stag Cap Badge w/ Belt","*BADGE-BELT-STAG*","","0","0",
"badge-belt-thistle","Thistle Cap Badge w/ Belt","*ADGE-BELT-THISTLE*","","0","1",
"badge-belt-thistle","Thistle Cap Badge w/ Belt","*ADGE-BELT-THISTLE*","","0","1",
"badge-belt-thistle","Thistle Cap Badge w/ Belt","*ADGE-BELT-THISTLE*","","0","1",
"badge-belt-thistle","Thistle Cap Badge w/ Belt","*ADGE-BELT-THISTLE*","","0","1",
"badge-belt-thistle","Thistle Cap Badge w/ Belt","*ADGE-BELT-THISTLE*","","0","1",
"badge-belt-thistle","Thistle Cap Badge w/ Belt","*ADGE-BELT-THISTLE*","","0","1",
"badge-belt-thistle","Thistle Cap Badge w/ Belt","*ADGE-BELT-THISTLE*","","0","1",
"badge-belt-thistle","Thistle Cap Badge w/ Belt","*ADGE-BELT-THISTLE*","","0","1",
"badge-belt-thistle","Thistle Cap Badge w/ Belt","*ADGE-BELT-THISTLE*","","0","1",
"badge-belt-thistle","Thistle Cap Badge w/ Belt","*ADGE-BELT-THISTLE*","","0","1",
"u-balmoral-d-7","Scottish Balmoral Hat, Diced Black Size 7","*U-BALMORAL-D-7*","","0","0",
"u-balmoral-d-75","Scottish Balmoral Hat, Diced Black Size 7.5","*U-BALMORAL-D-75*","","0","0",
