Model,Quantity,Description,
"N-Kiltie-B","1","Kiltie - Baby Sized","0",
"U-FLSH","10","Hose Flashes","1",
"U-sus","1","Suspenders","2",
"hd-garter","1","Highland Dance Garter","3",
"HD-Elasticlaces","1","Highland Dance Elastic Laces","4",
