"stock_id", "Title", "barcode", "category", "price"
"Pilsner-piper","Pilsner Glass ? Piper","*PILSNER-PIPER*","","0",
"Wine-Thistle","Wine Glass ? Thistle","*WINE-THISTLE*","","0",
"Wine-dancer-Irish","Wine Glass ? dancer-Irish","*WINE-DANCER-IRISH*","","0",
"BeerMug-piper","Beer Mug ? Piper","*BEERMUG-PIPER*","","0",
"BeerMug-Drummer","Beer Mug ? Drummer","*BEERMUG-DRUMMER*","","0",
"BeerMug-dancer","Beer Mug ? dancer","*BEERMUG-DANCER*","","0",
"Rock-Drummer","Rock Glass ? Drummer","*ROCK-DRUMMER*","","0",
"Rock-piper","Rock Glass ? Piper","*ROCK-PIPER*","","0",
"Pilsner-Drummer","Pilsner Glass ? Drummer","*PILSNER-DRUMMER*","","0",
"Shooter-Thistle","Shooter Glass ? Thistle","*SHOOTER-THISTLE*","","0",
"Shooter-Drummer","Shooter Glass ? Drummer","*SHOOTER-DRUMMER*","","0",
"Shooter-Claddagh","Shooter Glass ? Claddagh","*SHOOTER-CLADDAGH*","","0",
"Champagne-Claddagh","Champagne Glass ? Claddagh","*CHAMPAGNE-CLADDAGH*","","0",
"Shot-dancer","Shot Glass ? dancer","*SHOT-DANCER*","","0",
"Shot-Thistle","Shot Glass ? Thistle","*SHOT-THISTLE*","","0",
"Shot-Drummer","Shot Glass ? Drummer","*SHOT-DRUMMER*","","0",
"Shot-piper-standing","Shot Glass ? Piper ? Standing","*SHOT-PIPER-STANDING*","","0",
"Wine-piper","Wine Glass ? Piper","*WINE-PIPER*","","0",
"Shipping","Shipping From Supplier","*SHIPPING*","","0",
