ITEM,ITEM_CODE,STOCK_ID,Description,Category,units,dummy,MB_FLAG,Currency,Price,
ITEM,Letter-Opener-Treble_Clef,Letter-Opener-Treble_Clef,Treble_Clef Letter Opener,Novelty,ea,,B,CAD,21.6666666667,
BUY,Letter-Opener-Treble_Clef,Letter-Opener-Treble_Clef,LO-028 Treble_Clef Letter Opener,Robert Hall Originals,ea,1,B,CAD,13,
ITEM,Letter-Opener-Celtic-Cross,Letter-Opener-Celtic-Cross,Celtic-Cross Letter Opener,Novelty,ea,,B,CAD,21.6666666667,
BUY,Letter-Opener-Celtic-Cross,Letter-Opener-Celtic-Cross,LO-019 Celtic-Cross Letter Opener,Robert Hall Originals,ea,1,B,CAD,13,
ITEM,Letter-Opener-Celtic,Letter-Opener-Celtic,Celtic Letter Opener,Novelty,ea,,B,CAD,21.6666666667,
BUY,Letter-Opener-Celtic,Letter-Opener-Celtic,LO-017 Celtic Letter Opener,Robert Hall Originals,ea,1,B,CAD,13,
ITEM,Letter-Opener-Thistle,Letter-Opener-Thistle,Thistle Letter Opener,Novelty,ea,,B,CAD,21.6666666667,
BUY,Letter-Opener-Thistle,Letter-Opener-Thistle,LO-024 Thistle Letter Opener,Robert Hall Originals,ea,1,B,CAD,13,
ITEM,Letter-Opener-Piper,Letter-Opener-Piper,Piper Letter Opener,Novelty,ea,,B,CAD,21.6666666667,
BUY,Letter-Opener-Piper,Letter-Opener-Piper,LO-025 Piper Letter Opener,Robert Hall Originals,ea,1,B,CAD,13,
ITEM,Letter-Opener-Drummer,Letter-Opener-Drummer,Drummer Letter Opener,Novelty,ea,,B,CAD,21.6666666667,
BUY,Letter-Opener-Drummer,Letter-Opener-Drummer,LO-030 Drummer Letter Opener,Robert Hall Originals,ea,1,B,CAD,13,
ITEM,Bus-Card-hold-piper,Bus-Card-hold-piper,Business Card Holder – Piper,Novelty,ea,,B,CAD,27.62,
BUY,Bus-Card-hold-piper,Bus-Card-hold-piper,PCH-96 Business Card Holder – Piper,Robert Hall Originals,ea,1,B,CAD,14,
ITEM,Bus-Card-hold-dancer,Bus-Card-hold-dancer,Business Card Holder – dancer,Novelty,ea,,B,CAD,27.62,28.95
BUY,Bus-Card-hold-dancer,Bus-Card-hold-dancer,PCH-85 Business Card Holder – dancer,Robert Hall Originals,ea,1,B,CAD,14,
ITEM,Bus-Card-hold-Thistle,Bus-Card-hold-Thistle,Business Card Holder – Thistle,Novelty,ea,,B,CAD,27.62,
BUY,Bus-Card-hold-Thistle,Bus-Card-hold-Thistle,PCH-86 Business Card Holder – Thistle,Robert Hall Originals,ea,1,B,CAD,14,
ITEM,Bus-Card-hold-Drummer,Bus-Card-hold-Drummer,Business Card Holder – Drummer,Novelty,ea,,B,CAD,27.62,
BUY,Bus-Card-hold-Drummer,Bus-Card-hold-Drummer,PCH-97 Business Card Holder – Drummer,Robert Hall Originals,ea,1,B,CAD,14,
ITEM,PEN-ML-1,PEN-ML-1,Pendant – Maple Leaf,Pendant,ea,,B,CAD,13.3333333333,12.95
BUY,PEN-ML-1,PEN-ML-1,LP-43 Pendant – Maple Leaf ,Robert Hall Originals,ea,1,B,CAD,8,
ITEM,PEN-chain-piper,PEN-chain-piper,Pendant with chain – Piper,Pendant,ea,,B,CAD,10,
BUY,PEN-chain-piper,PEN-chain-piper,PCH-96 Pendant with chain – Piper,Robert Hall Originals,ea,1,B,CAD,6,
ITEM,PEN-chain-dancer,PEN-chain-dancer,Pendant with chain – dancer,Pendant,ea,,B,CAD,10,
BUY,PEN-chain-dancer,PEN-chain-dancer,NPP-77 Pendant with chain – dancer,Robert Hall Originals,ea,1,B,CAD,6,
ITEM,PEN-chain-dancer-Irish,PEN-chain-dancer-Irish,Pendant with chain – dancer-Irish,Pendant,ea,,B,CAD,10,
BUY,PEN-chain-dancer-Irish,PEN-chain-dancer-Irish,NPP-78 Pendant with chain – dancer-Irish,Robert Hall Originals,ea,1,B,CAD,6,
ITEM,PEN-Cross-Protection,PEN-Cross-Protection,Pendant with chain – Protection Cross,Pendant,ea,,B,CAD,17.14,18
BUY,PEN-Cross-Protection,PEN-Cross-Protection,LPP-1227 Pendant with chain – Protection Cross,Robert Hall Originals,ea,1,B,CAD,8.5,
ITEM,PEN-Cross-High,PEN-Cross-High,Pendant with chain – High Cross,Pendant,ea,,B,CAD,17.14,
BUY,PEN-Cross-High,PEN-Cross-High,LPP-1226 Pendant with chain – High Cross,Robert Hall Originals,ea,1,B,CAD,8.5,
